/usr/local/mysql/bin/mysqld, Version: 5.7.14 (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2016-08-25T15:59:34.976947Z	  990 Query	SHOW FULL COLUMNS FROM `election`.`voters`
2016-08-25T15:59:34.977442Z	  990 Query	SHOW INDEXES FROM `election`.`voters`
2016-08-25T16:30:58.854894Z	  992 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.858433Z	  992 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.877415Z	  992 Query	SET NAMES latin1
2016-08-25T16:30:58.877582Z	  992 Query	SET character_set_results = NULL
2016-08-25T16:30:58.877916Z	  992 Query	SET autocommit=1
2016-08-25T16:30:58.879755Z	  993 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.879964Z	  993 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.880448Z	  993 Query	SET NAMES latin1
2016-08-25T16:30:58.880552Z	  993 Query	SET character_set_results = NULL
2016-08-25T16:30:58.880663Z	  993 Query	SET autocommit=1
2016-08-25T16:30:58.881928Z	  994 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.882150Z	  994 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.882595Z	  994 Query	SET NAMES latin1
2016-08-25T16:30:58.882712Z	  994 Query	SET character_set_results = NULL
2016-08-25T16:30:58.882849Z	  994 Query	SET autocommit=1
2016-08-25T16:30:58.883944Z	  995 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.884133Z	  995 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.884653Z	  995 Query	SET NAMES latin1
2016-08-25T16:30:58.884788Z	  995 Query	SET character_set_results = NULL
2016-08-25T16:30:58.884936Z	  995 Query	SET autocommit=1
2016-08-25T16:30:58.886090Z	  996 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.886312Z	  996 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.886710Z	  996 Query	SET NAMES latin1
2016-08-25T16:30:58.886815Z	  996 Query	SET character_set_results = NULL
2016-08-25T16:30:58.886943Z	  996 Query	SET autocommit=1
2016-08-25T16:30:58.887982Z	  997 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.888154Z	  997 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.888514Z	  997 Query	SET NAMES latin1
2016-08-25T16:30:58.888841Z	  997 Query	SET character_set_results = NULL
2016-08-25T16:30:58.888966Z	  997 Query	SET autocommit=1
2016-08-25T16:30:58.889991Z	  998 Connect	root@localhost on election using TCP/IP
2016-08-25T16:30:58.890171Z	  998 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:30:58.890600Z	  998 Query	SET NAMES latin1
2016-08-25T16:30:58.890727Z	  998 Query	SET character_set_results = NULL
2016-08-25T16:30:58.890854Z	  998 Query	SET autocommit=1
2016-08-25T16:30:58.892095Z	  999 Connect	root@localhost on election using TCP/IP
